love	sex	6.77	0.547478873397767
tiger	cat	7.35	0.7964807866045261
tiger	tiger	10.00	0.9999999999999998
book	paper	7.46	0.530107734480692
computer	keyboard	7.62	0.6525765825029786
computer	internet	7.58	0.6669298018484214
plane	car	5.77	0.5516992613290509
train	car	6.31	0.5956607804285214
telephone	communication	7.50	0.5763507709928744
television	radio	6.77	0.7873306257208726
media	radio	7.42	0.5952962228785372
drug	abuse	6.85	0.6591875288408883
bread	butter	6.19	0.8926811469415065
cucumber	potato	5.92	0.7196739855162987
doctor	nurse	7.00	0.7035280685804792
professor	doctor	6.62	0.5321523685539524
student	professor	6.81	0.6832808035903816
smart	student	4.62	0.08288019977607285
smart	stupid	5.81	0.557634660767006
company	stock	7.08	0.6222162188140404
stock	market	8.08	0.7424254115165179
stock	phone	1.62	0.3316013100093649
stock	CD	1.31	0.26277391415457385
stock	jaguar	0.92	0.0721201073550698
stock	egg	1.81	0.24711502504803373
fertility	egg	6.69	0.4217030260955231
stock	live	3.73	0.07671138729263535
stock	life	0.92	0.030405661328368576
book	library	7.46	0.37222616982808726
bank	money	8.12	0.3207396879823452
wood	forest	7.73	0.5916751696853305
money	cash	9.15	0.7678089674632682
professor	cucumber	0.31	0.13515089644065642
king	cabbage	0.23	0.011849460621653776
king	queen	8.58	0.725788430327757
king	rook	5.92	0.3753424997573055
bishop	rabbi	6.69	0.7051910862464416
Jerusalem	Israel	8.46	0.4602791827368496
Jerusalem	Palestinian	7.65	0.36869533360624196
holy	sex	1.62	0.240602721364991
fuck	sex	9.44	0.19116624329459073
Maradona	football	8.62	0.4592838157484527
football	soccer	9.03	0.7846822983535705
football	basketball	6.81	0.8267696820876179
football	tennis	6.63	0.6394452526457161
tennis	racket	7.56	0.2818534425593895
Arafat	peace	6.73	0.08743627553309863
Arafat	terror	7.65	0.22147754808061706
Arafat	Jackson	2.50	0.3449835126223711
law	lawyer	8.38	0.3659505208850923
movie	star	7.38	0.595260673772555
movie	popcorn	6.19	0.07755902036312497
movie	critic	6.73	0.44653145796115173
movie	theater	7.92	0.5373690458805811
